Logement,Name,Type,Surface,Price,Lieu,Chambres,Pièces,Etage
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"43 Bd de la Villette, 75010 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"43 Bd de la Villette, 75010 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 14m²,Logement entier,14 m²,N/A,"265 Rue du Faubourg Saint-Martin, 75010 Paris, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Ivry Stalingrad,Studio de 17m² à 20m²,17-20 m²,880€,"132 Boulevard de Stalingrad, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Ivry Stalingrad,Studio TV de 17m² à 22m²,17-22 m²,885€,"132 Boulevard de Stalingrad, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Ivry Stalingrad,T1 Lit double de 24m²,24 m²,910€,"132 Boulevard de Stalingrad, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en résidence,Twenty Campus Ivry Stalingrad,Studio avec TV et Terrasse de 18m² à 22m²,18-22 m²,925€,"132 Boulevard de Stalingrad, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement chez l'habitant,Logement chez l'habitant pour 5 personnes de 90m²,Logement chez l'habitant,90 m²,N/A,"31 All. de l'Ermitage, 78955 Carrières-sous-Poissy, France",N/A,N/A,N/A
Logement entier,Studio de 11m²,Logement entier,11 m²,N/A,"10 Rue Lord Byron, 75008 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 2 personnes de 45m²,Chambre 1 de 15m2,15 m²,995€,"1 Av. de la Prte de Vincennes, 75020 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 2 personnes de 45m²,Chambre 2 de 10m2,10 m²,995€,"1 Av. de la Prte de Vincennes, 75020 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 3 personnes de 52m²,Logement entier,52 m²,N/A,"28 Avenue René Coty, 75014 Paris, France",N/A,N/A,N/A
Logement entier,Studio de 16m²,Logement entier,16 m²,N/A,"39 Rue Doudeauville, 75018 Paris, France",N/A,N/A,N/A
Logement entier,Logement entier pour 2 personnes de 35m²,Logement entier,35 m²,N/A,"123 Rue de la Roquette, 75011 Paris, France",N/A,N/A,N/A
