Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal,Arrondissement
Appartement à louer,236.0,10000,"Muette Nord, Paris 16ème (75016)",3.0,6.0,,75016,16.0
Appartement à louer,102.0,15000,"Notre Dame des Champs, Paris 6ème (75006)",2.0,3.0,,75006,6.0
Appartement à louer,61.0,2600,"Chaillot, Paris 16ème (75016)",1.0,2.0,4.0,75016,16.0
Appartement à louer - Première occupation,51.0,2700,"Buttes Chaumont, Paris 19ème (75019)",1.0,2.0,,75019,19.0
Appartement à louer,38.0,1496,"Bel-Air Sud, Paris 12ème (75012)",1.0,2.0,3.0,75012,12.0
Appartement à louer,50.0,3410,"Saint Gervais, Paris 4ème (75004)",2.0,3.0,,75004,4.0
Appartement à louer,31.0,1500,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",0.0,1.0,5.0,75015,15.0
Appartement à louer,43.0,1950,"Montmartre, Paris 18ème (75018)",1.0,2.0,,75018,18.0
Appartement à louer,26.7,1500,"Vivienne-Gaillon, Paris 2ème (75002)",0.0,1.0,,75002,2.0
Appartement à louer,43.0,1700,"Jardin de Reuilly, Paris 12ème (75012)",1.0,2.0,,75012,12.0
Appartement à louer,236.0,19000,"Chaillot, Paris 16ème (75016)",4.0,7.0,7.0,75016,16.0
Appartement à louer,65.0,3200,"Gros Caillou, Paris 7ème (75007)",1.0,3.0,,75007,7.0
Appartement à louer,75.0,3300,"Dupleix-Motte Picquet, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,51.0,3250,"Courcelles-Wagram, Paris 17ème (75017)",1.0,2.0,,75017,17.0
Appartement à louer,31.0,1400,"Aligre-Gare de Lyon, Paris 12ème (75012)",0.0,1.0,,75012,12.0
Appartement à louer,37.0,1400,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",1.0,2.0,,75018,18.0
Appartement à louer,63.6,2850,"Triangle d'Or, Paris 8ème (75008)",0.0,1.0,,75008,8.0
Appartement à louer,95.0,8300,"Saint Placide, Paris 6ème (75006)",4.0,5.0,1.0,75006,6.0
Appartement à louer,63.5,2795,"Saint Philippe du Roule, Paris 8ème (75008)",1.0,2.0,6.0,75008,8.0
Duplex à louer,54.0,2250,"Georges Brassens, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,95.0,4500,"Muette Sud, Paris 16ème (75016)",2.0,4.0,6.0,75016,16.0
Appartement à louer,51.0,1390,"Alleray Procession, Paris 15ème (75015)",1.0,2.0,5.0,75015,15.0
Appartement à louer,95.0,4270,"Chaillot, Paris 16ème (75116)",2.0,3.0,2.0,75116,16.0
Appartement à louer,20.0,940,"Aligre-Gare de Lyon, Paris 12ème (75012)",1.0,2.0,,75012,12.0
Appartement à louer,35.0,1700,"Pernety, Paris 14ème (75014)",0.0,1.0,,75014,14.0
Appartement à louer,165.0,10750,"Saint Philippe du Roule, Paris 8ème (75008)",4.0,6.0,,75008,8.0
Appartement à louer,35.0,1550,"Arsenal, Paris 4ème (75004)",1.0,2.0,4.0,75004,4.0
Appartement à louer - Première occupation,138.0,6090,"Muette Sud, Paris 16ème (75016)",4.0,5.0,,75016,16.0
Studio à louer,26.0,1110,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",0.0,1.0,4.0,75015,15.0
Appartement à louer,60.6,1990,"Grandes Carrières-Clichy, Paris 18ème (75018)",1.0,3.0,6.0,75018,18.0
Appartement à louer,140.0,11500,"Vivienne-Gaillon, Paris 2ème (75002)",3.0,4.0,,75002,2.0
Appartement à louer,50.0,1980,"Citroën-Boucicaut, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,35.0,1269,"Bastille-Popincourt, Paris 11ème (75011)",1.0,2.0,,75011,11.0
Appartement à louer - Première occupation,44.0,2200,"Saint Philippe du Roule, Paris 8ème (75008)",0.0,1.0,,75008,8.0
Appartement à louer,40.0,2890,"Porte Dauphine, Paris 16ème (75116)",1.0,2.0,,75116,16.0
Appartement à louer,82.0,2700,"Odéon, Paris 6ème (75006)",2.0,3.0,5.0,75006,6.0
Appartement à louer,29.0,1093,"République-Saint Ambroise, Paris 11ème (75011)",1.0,2.0,,75011,11.0
Appartement à louer,55.0,2100,Paris 16ème (75016),1.0,2.0,2.0,75016,16.0
Triplex à louer,270.3,11840,"Hoche-Friedland, Paris 8ème (75008)",4.0,7.0,,75008,8.0
Appartement à louer - Première occupation,64.0,3060,"Alleray Procession, Paris 15ème (75015)",2.0,3.0,5.0,75015,15.0
Appartement à louer,85.0,2900,"Georges Brassens, Paris 15ème (75015)",3.0,4.0,5.0,75015,15.0
Appartement à louer,280.0,11000,"Muette Nord, Paris 16ème (75016)",4.0,7.0,,75016,16.0
Appartement à louer - Première occupation,108.0,4350,"Citroën-Boucicaut, Paris 15ème (75015)",3.0,4.0,,75015,15.0
Appartement à louer,45.9,2800,"Muette Sud, Paris 16ème (75116)",1.0,2.0,,75116,16.0
Appartement à louer - Première occupation,57.0,3140,"Champerret-Berthier, Paris 17ème (75017)",2.0,3.0,,75017,17.0
Appartement à louer - Première occupation,63.0,3960,"Pereire-Malesherbes, Paris 17ème (75017)",2.0,3.0,,75017,17.0
Appartement à louer - Première occupation,47.0,2430,"Epinettes-Bessières, Paris 17ème (75017)",1.0,2.0,,75017,17.0
Appartement à louer - Première occupation,55.0,2630,"Courcelles-Wagram, Paris 17ème (75017)",1.0,2.0,,75017,17.0
Appartement à louer,440.0,40000,"Gros Caillou, Paris 7ème (75007)",4.0,12.0,4.0,75007,7.0
Appartement à louer,184.0,14200,"Saint Germain des Prés, Paris 6ème (75006)",6.0,7.0,2.0,75006,6.0
Appartement à louer - Première occupation,53.9,3400,"Hoche-Friedland, Paris 8ème (75008)",1.0,2.0,,75008,8.0
Appartement à louer - Première occupation,79.1,3080,"Rennes, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer - Première occupation,157.0,6260,"Emeriau-Zola, Paris 15ème (75015)",4.0,5.0,,75015,15.0
Appartement à louer - Première occupation,66.0,4090,"Dupleix-Motte Picquet, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer - Première occupation,48.0,4400,"Courcelles-Wagram, Paris 17ème (75017)",2.0,3.0,3.0,75017,17.0
Appartement à louer - Première occupation,70.0,3550,"Porte Dauphine, Paris 16ème (75016)",2.0,3.0,1.0,75016,16.0
Appartement à louer - Première occupation,46.9,2200,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",1.0,2.0,,75018,18.0
