Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal
Appartement à louer,26.0,855,"Didot-Porte de Vanves, Paris 14ème (75014)",0.0,1.0,4,75014
Studio à louer,17.0,590,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,2,75011
Studio à louer,18.0,577,"Porte Dauphine, Paris 16ème (75016)",0.0,1.0,3,75016
Studio à louer,18.0,590,"Porte Dauphine, Paris 16ème (75016)",0.0,1.0,3,75016
Studio à louer,18.0,664,"Porte Dauphine, Paris 16ème (75016)",0.0,1.0,5,75016
Appartement à louer,25.8,1095,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",0.0,1.0,1,75018
Appartement à louer,12.7,900,"Palais Royal, Paris 1er (75001)",0.0,1.0,6,75001
Appartement à louer,22.7,990,"Flandre-Aubervilliers, Paris 19ème (75019)",0.0,1.0,1,75019
Appartement à louer,25.9,904,"Patay-Masséna, Paris 13ème (75013)",0.0,1.0,1,75013
Studio à louer - logement étudiant,19.0,832,"La Chapelle-Marx Dormoy, Paris 18ème (75018)",0.0,1.0,1,75018
Appartement à louer,20.0,1050,"Clichy-Trinité, Paris 9ème (75009)",0.0,1.0,3,75009
Appartement à louer,14.0,1200,"Cambronne-Garibaldi, Paris 15ème (75015)",0.0,1.0,6,75015
Appartement à louer,15.4,867,"Moskowa-Porte Montmartre-Porte de Clignancourt, Paris 18ème (75018)",0.0,1.0,4,75018
Appartement à louer,41.5,1156,"Patay-Masséna, Paris 13ème (75013)",1.0,2.0,15,75013
Appartement à louer,26.1,1161,"Bassin de la Villette, Paris 19ème (75019)",0.0,2.0,5,75019
Appartement à louer,19.7,890,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",0.0,1.0,3,75018
Studio à louer,14.0,800,"Epinettes-Bessières, Paris 17ème (75017)",0.0,1.0,3,75017
Appartement à louer,25.0,1015,"Olympiades-Choisy, Paris 13ème (75013)",0.0,1.0,6,75013
Appartement à louer,20.0,900,"Louis Blanc-Aqueduc, Paris 10ème (75010)",0.0,1.0,4,75010
Appartement à louer,24.0,1050,"Gros Caillou, Paris 7ème (75007)",0.0,1.0,6,75007
Appartement à louer,37.4,1080,"Bel-Air Sud, Paris 12ème (75012)",1.0,2.0,4,75012
Studio à louer,31.0,1114,"République-Saint Ambroise, Paris 11ème (75011)",0.0,1.0,2,75011
Appartement à louer,50.0,1030,"Ecole Militaire, Paris 7ème (75007)",3.0,3.0,6,75007
Appartement à louer,18.6,950,"Montmartre, Paris 18ème (75018)",0.0,1.0,2,75018
Appartement à louer,80.0,980,"Danube-Porte des Lilas, Paris 19ème (75019)",4.0,4.0,6,75019
Appartement à louer - Première occupation,27.7,1160,"Georges Brassens, Paris 15ème (75015)",0.0,1.0,4,75015
Appartement à louer,25.1,913,"Nation-Picpus, Paris 12ème (75012)",0.0,1.0,6,75012
Appartement à louer,21.3,1025,"Arts et Métiers, Paris 3ème (75003)",1.0,2.0,1,75003
Appartement à louer,70.0,935,"Flandre-Aubervilliers, Paris 19ème (75019)",4.0,3.0,23,75019
Appartement à louer,32.0,1175,"Clichy-Trinité, Paris 9ème (75009)",0.0,1.0,3,75009
Appartement à louer,20.8,835,"Jardin de Reuilly, Paris 12ème (75012)",0.0,1.0,4,75012
Appartement à louer,15.2,747,"Georges Brassens, Paris 15ème (75015)",0.0,1.0,4,75015
Studio à louer,36.0,1190,"Champerret-Berthier, Paris 17ème (75017)",0.0,1.0,4,75017
Appartement à louer,17.0,1046,"Muette Sud, Paris 16ème (75016)",0.0,1.0,7,75016
Appartement à louer,12.0,686,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",0.0,1.0,6,75018
Appartement à louer - Première occupation,21.0,1100,"Courcelles-Wagram, Paris 17ème (75017)",0.0,1.0,1,75017
Appartement à louer,35.9,1054,"Mouton Duvernet, Paris 14ème (75014)",1.0,2.0,1,75014
