Cardinal Campus The Place,20.5,912.5,1.0,92150,"19-21 Rue Emile Duclaux, Suresnes, France"
Twenty Campus Pantin,17.5,850.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
Twenty Campus Pantin,22.0,899.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
Twenty Campus Pantin,19.0,870.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
Twenty Campus Pantin,28.0,970.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
Twenty Campus Pantin,32.0,1050.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
Twenty Campus Pantin,47.0,1250.0,1.0,93500,"192 Avenue Jean Jaurès, Pantin, France"
UXCO Streamline,18.0,1042.5,1.0,92100,"73 Rue de Sevres, 92100 Boulogne-Billancourt, France"
UXCO Streamline,27.0,1127.5,1.0,92100,"73 Rue de Sevres, 92100 Boulogne-Billancourt, France"
UXCO Streamline,52.0,2060.0,1.0,92100,"73 Rue de Sevres, 92100 Boulogne-Billancourt, France"
Résidence Pythagore Grande Arche,21.0,1095.0,1.0,92400,"54 Avenue Puvis de Chavannes, 92400 Courbevoie, France"
Résidence Pythagore Grande Arche,19.5,1120.0,1.0,92400,"54 Avenue Puvis de Chavannes, 92400 Courbevoie, France"
Résidence Pythagore Grande Arche,19.5,1090.0,1.0,92400,"54 Avenue Puvis de Chavannes, 92400 Courbevoie, France"
Résidence Pythagore Grande Arche,19.5,1140.0,1.0,92400,"54 Avenue Puvis de Chavannes, 92400 Courbevoie, France"
Studio de 34m²,34.0,1420.51,1.0,75014,"19 Rue de la Gaité, 75014 Paris, France"
Logement en colocation pour 11 personnes de 280m²,13.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,13.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,13.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,13.0,1100.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,12.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,13.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,10.0,1050.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,11.0,1050.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,9.0,950.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,10.0,990.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 11 personnes de 280m²,14.0,1070.0,1.0,94200,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France"
Logement en colocation pour 4 personnes de 89m²,21.0,1200.0,1.0,75010,"3 Rue de la Fidélité, 75010 Paris, France"
Logement en colocation pour 4 personnes de 89m²,12.0,1000.0,1.0,75010,"3 Rue de la Fidélité, 75010 Paris, France"
Logement en colocation pour 4 personnes de 89m²,11.0,1080.0,1.0,75010,"3 Rue de la Fidélité, 75010 Paris, France"
Logement en colocation pour 4 personnes de 89m²,11.0,1030.0,1.0,75010,"3 Rue de la Fidélité, 75010 Paris, France"
Logement entier pour 2 personnes de 39m²,39.0,1760.2,1.0,75015,"38 Rue Duranton, 75015 Paris, France"
Logement en colocation pour 4 personnes de 75m²,10.0,890.0,1.0,75019,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France"
Logement en colocation pour 4 personnes de 75m²,11.0,890.0,1.0,75019,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France"
Logement en colocation pour 4 personnes de 75m²,15.0,890.0,1.0,75019,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France"
Logement en colocation pour 4 personnes de 75m²,10.0,890.0,1.0,75019,"27 Rue Rebeval, Paris 19e Arrondissement, Île-de-France, France"
Logement entier pour 4 personnes de 65m²,65.0,1569.79,1.0,75005,"18 Rue Henri Barbusse, 75005 Paris, France"
Studio de 14m²,14.0,1085.37,1.0,75005,"Rue Claude Bernard, 75005 Paris, France"
Logement entier pour 2 personnes de 40m²,40.0,1778.28,1.0,75015,"21 Rue François Bonvin, 75015 Paris, France"
Logement entier pour 4 personnes de 58m²,58.0,1668.58,1.0,75007,"15 Bd des Invalides, 75007 Paris, France"
Logement entier pour 2 personnes de 22m²,22.0,981.69,1.0,75007,"Rue de l'Université, 75007 Paris, France"
Logement entier pour 3 personnes de 40m²,40.0,1445.97,1.0,75018,"18 Rue Simart, 75018 Paris, France"
Logement entier pour 1 personne de 38m²,38.0,1328.32,1.0,75020,"50 Rue des Rondeaux, Paris 20e Arrondissement, Île-de-France, France"
Logement en colocation pour 2 personnes de 56m²,11.0,1000.0,1.0,75018,"27 Rue Championnet, 75018 Paris, France"
Logement en colocation pour 2 personnes de 56m²,14.0,1100.0,1.0,75018,"27 Rue Championnet, 75018 Paris, France"
Studio de 37m²,37.0,1312.04,1.0,75005,"75 Rue Monge, 75005 Paris, France"
Logement en colocation pour 1 personne de 53m²,17.0,888.0,1.0,75020,"351 Rue des Pyrénées, 75020 Paris, France"
Logement en colocation pour 1 personne de 53m²,17.0,888.0,1.0,75020,"351 Rue des Pyrénées, 75020 Paris, France"
Logement entier pour 1 personne de 27m²,27.0,1393.72,1.0,75017,"1 Rue d'Armenonville, Paris 17e Arrondissement, Île-de-France, France"
Logement entier pour 2 personnes de 40m²,40.0,1422.22,1.0,75006,"24 Rue du Cherche-Midi, 75006 Paris, France"
Logement en colocation pour 2 personnes de 45m²,45.0,1467.46,1.0,75018,"20 Rue Joseph Dijon, 75018 Paris, France"
Logement entier pour 2 personnes de 44m²,44.0,1429.03,1.0,75020,"39 Rue Saint-Fargeau, 75020 Paris, France"
Studio de 19m²,19.0,977.95,1.0,75003,"10 Rue de Picardie, 75003 Paris, France"
Logement en colocation pour 4 personnes de 90m²,15.0,1180.0,1.0,75011,"21 Rue Daval, 75011 Paris, France"
Logement en colocation pour 4 personnes de 90m²,14.0,1100.0,1.0,75011,"21 Rue Daval, 75011 Paris, France"
Logement en colocation pour 4 personnes de 90m²,14.0,1180.0,1.0,75011,"21 Rue Daval, 75011 Paris, France"
Logement en colocation pour 4 personnes de 90m²,19.0,1250.0,1.0,75011,"21 Rue Daval, 75011 Paris, France"
Logement entier pour 6 personnes de 60m²,60.0,1590.49,1.0,75018,"69 Rue de la Chapelle, 75018 Paris, France"
Logement entier pour 3 personnes de 29m²,29.0,1315.12,1.0,75018,"6 Rue Pierre l'Ermite, 75018 Paris, France"
Logement en colocation pour 4 personnes de 80m²,12.838431216931216,995.0,1.0,75017,rue Roger Bacon 75017 Paris FRANCE
Logement en colocation pour 4 personnes de 80m²,14.632637566137568,1045.0,1.0,75017,rue Roger Bacon 75017 Paris FRANCE
Studio de 32m²,32.0,1411.33,1.0,75014,"135 Rue Didot, 75014 Paris, France"
Logement en colocation pour 3 personnes de 50m²,17.085119047619045,1110.0,1.0,75009,cité Condorcet 75009 Paris FRANCE
Logement en colocation pour 3 personnes de 50m²,15.368317460317458,1125.0,1.0,75009,cité Condorcet 75009 Paris FRANCE
Logement en colocation pour 3 personnes de 50m²,15.417313732563734,1065.0,1.0,75009,cité Condorcet 75009 Paris FRANCE
Logement entier pour 5 personnes de 55m²,55.0,1546.89,1.0,75017,"47 Bd Bessières, 75017 Paris, France"
Logement en colocation pour 4 personnes de 80m²,13.8984126984127,1040.0,1.0,75015,rue de Cronstadt 75015 Paris FRANCE
Logement en colocation pour 4 personnes de 80m²,15.915416666666669,995.0,1.0,75015,rue de Cronstadt 75015 Paris FRANCE
Logement en colocation pour 4 personnes de 80m²,10.846547619047612,945.0,1.0,75015,rue de Cronstadt 75015 Paris FRANCE
Logement en colocation pour 2 personnes de 17m²,17.0,1392.64,1.0,75018,"26 Rue Marcadet, 75018 Paris, France"
Logement en colocation pour 5 personnes de 110m²,14.410567053317058,1085.0,1.0,75017,rue de Saussure 75017 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,12.10098677248677,1000.0,1.0,75017,rue de Saussure 75017 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,13.865421791171793,1075.0,1.0,75017,rue de Saussure 75017 Paris FRANCE
Logement en colocation pour 4 personnes de 90m²,15.69520634920635,1045.0,1.0,75016,boulevard Murat 75016 Paris FRANCE
Logement en colocation pour 4 personnes de 90m²,15.12172181522182,1080.0,1.0,75016,boulevard Murat 75016 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,11.0925582010582,1085.0,1.0,75015,rue des Morillons 75015 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,12.341488095238095,1055.0,1.0,75015,rue des Morillons 75015 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,12.226392857142857,1050.0,1.0,75015,rue des Morillons 75015 Paris FRANCE
Logement en colocation pour 5 personnes de 110m²,12.917190476190479,1120.0,1.0,75015,rue des Morillons 75015 Paris FRANCE
Logement en colocation pour 7 personnes de 130m²,12.851535714285715,1080.0,1.0,75010,rue du Buisson Saint-Louis 75010 Paris FRANCE
Logement en colocation pour 7 personnes de 130m²,12.61508225108225,1070.0,1.0,75010,rue du Buisson Saint-Louis 75010 Paris FRANCE
Logement en colocation pour 7 personnes de 130m²,12.61508225108225,1070.0,1.0,75010,rue du Buisson Saint-Louis 75010 Paris FRANCE
Logement en colocation pour 7 personnes de 130m²,12.61508225108225,1070.0,1.0,75010,rue du Buisson Saint-Louis 75010 Paris FRANCE
Logement en colocation pour 5 personnes de 100m²,15.359883919321428,960.0,1.0,75019,rue Riquet 75019 Paris FRANCE
Logement en colocation pour 5 personnes de 100m²,16.45810185185185,940.0,1.0,75019,rue Riquet 75019 Paris FRANCE
Studio de 39m²,39.0,1296.26,1.0,75008,"38 Av. Marceau, 75008 Paris, France"
Studio de 27m²,27.0,1017.62,1.0,75012,"8 Rue de Capri, 75012 Paris, France"
Logement en colocation pour 4 personnes de 70m²,11.064277777777779,1000.0,1.0,75020,rue de Bagnolet 75020 Paris FRANCE
Logement en colocation pour 4 personnes de 70m²,16.06625,940.0,1.0,75020,rue de Bagnolet 75020 Paris FRANCE
Logement en colocation pour 4 personnes de 70m²,15.25020634920635,1120.0,1.0,75020,rue de Bagnolet 75020 Paris FRANCE
Logement en colocation pour 4 personnes de 70m²,12.758416666666665,1060.0,1.0,75010,rue de l'Aqueduc 75010 Paris FRANCE
Logement en colocation pour 4 personnes de 70m²,12.851535714285715,1080.0,1.0,75010,rue de l'Aqueduc 75010 Paris FRANCE
