Name,Surface,Price,Lieu,Chambres,Pièces,Etage
,,,,,,
,,,,N/A,,
,,,,N/A,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
Appartement à louer,"205,9 m²",5 140 € /mois,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",3 chambres,4 pièces,
Appartement à louer,78 m²,2 900 € /mois,"Pasteur Montparnasse, Paris 15ème (75015)",2 chambres,3 pièces,2ème étage
Appartement à louer,140 m²,8 300 € /mois,"Triangle d'Or, Paris 8ème (75008)",2 chambres,4 pièces,2ème étage
Appartement à louer,73 m²,2 400 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",2 chambres,3 pièces,3ème étage
Appartement à louer - Première occupation,138 m²,6 030 € /mois,"Chaillot, Paris 16ème (75116)",4 chambres,5 pièces,N/A
Appartement à louer,262 m²,15 650 € /mois,"Chaillot, Paris 16ème (75116)",4 chambres,6 pièces,
Appartement à louer,35 m²,1 875 € /mois,"Archives, Paris 3ème (75003)",1 chambre,2 pièces,N/A
Appartement à louer,236 m²,10 000 € /mois,"Muette Nord, Paris 16ème (75016)",3 chambres,6 pièces,N/A
Appartement à louer,102 m²,15 000 € /mois,"Notre Dame des Champs, Paris 6ème (75006)",2 chambres,3 pièces,RDC
Appartement à louer,61 m²,2 600 € /mois,"Chaillot, Paris 16ème (75016)",1 chambre,2 pièces,4ème étage
Appartement à louer - Première occupation,51 m²,2 700 € /mois,"Buttes Chaumont, Paris 19ème (75019)",1 chambre,2 pièces,N/A
Appartement à louer,38 m²,1 496 € /mois,"Bel-Air Sud, Paris 12ème (75012)",1 chambre,2 pièces,3ème étage
Appartement à louer,50 m²,3 410 € /mois,"Saint Gervais, Paris 4ème (75004)",2 chambres,3 pièces,N/A
Appartement à louer,31 m²,1 500 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",N/A,1 pièce,5ème étage
Appartement à louer,43 m²,1 950 € /mois,"Montmartre, Paris 18ème (75018)",1 chambre,2 pièces,
Appartement à louer,"26,7 m²",1 500 € /mois,"Vivienne-Gaillon, Paris 2ème (75002)",N/A,1 pièce,RDC
Appartement à louer,43 m²,1 700 € /mois,"Jardin de Reuilly, Paris 12ème (75012)",1 chambre,2 pièces,
Appartement à louer,236 m²,19 000 € /mois,"Chaillot, Paris 16ème (75016)",4 chambres,7 pièces,7 étages
Appartement à louer,65 m²,3 200 € /mois,"Gros Caillou, Paris 7ème (75007)",1 chambre,3 pièces,N/A
Appartement à louer,75 m²,3 300 € /mois,"Dupleix-Motte Picquet, Paris 15ème (75015)",2 chambres,3 pièces,
Appartement à louer,51 m²,3 250 € /mois,"Courcelles-Wagram, Paris 17ème (75017)",1 chambre,2 pièces,N/A
Appartement à louer,31 m²,1 400 € /mois,"Aligre-Gare de Lyon, Paris 12ème (75012)",N/A,1 pièce,
Appartement à louer,37 m²,1 400 € /mois,"Goutte d'Or-Château Rouge, Paris 18ème (75018)",1 chambre,2 pièces,N/A
Appartement à louer,"63,6 m²",2 850 € /mois,"Triangle d'Or, Paris 8ème (75008)",N/A,1 pièce,
Appartement à louer,95 m²,8 300 € /mois,"Saint Placide, Paris 6ème (75006)",4 chambres,5 pièces,1er étage
Appartement à louer,"63,5 m²",2 795 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",1 chambre,2 pièces,6ème étage
Duplex à louer,54 m²,2 250 € /mois,"Georges Brassens, Paris 15ème (75015)",1 chambre,2 pièces,RDC
Appartement à louer,95 m²,4 500 € /mois,"Muette Sud, Paris 16ème (75016)",2 chambres,4 pièces,6 étages
Appartement à louer,51 m²,1 390 € /mois,"Alleray Procession, Paris 15ème (75015)",1 chambre,2 pièces,RDC/5
Appartement à louer,95 m²,4 270 € /mois,"Chaillot, Paris 16ème (75116)",2 chambres,3 pièces,2ème étage
Appartement à louer,20 m²,940 € /mois,"Aligre-Gare de Lyon, Paris 12ème (75012)",1 chambre,2 pièces,
Appartement à louer,35 m²,1 700 € /mois,"Pernety, Paris 14ème (75014)",N/A,1 pièce,
Appartement à louer,165 m²,10 750 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",4 chambres,6 pièces,N/A
Appartement à louer,35 m²,1 550 € /mois,"Arsenal, Paris 4ème (75004)",1 chambre,2 pièces,4ème étage
Appartement à louer - Première occupation,138 m²,6 090 € /mois,"Muette Sud, Paris 16ème (75016)",4 chambres,5 pièces,N/A
Studio à louer,26 m²,1 110 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",N/A,1 pièce,4ème étage
Appartement à louer,"60,6 m²",1 990 € /mois,"Grandes Carrières-Clichy, Paris 18ème (75018)",1 chambre,3 pièces,RDC/6
Appartement à louer,140 m²,11 500 € /mois,"Vivienne-Gaillon, Paris 2ème (75002)",3 chambres,4 pièces,
Appartement à louer,50 m²,1 980 € /mois,"Citroën-Boucicaut, Paris 15ème (75015)",1 chambre,2 pièces,
Appartement à louer,35 m²,1 269 € /mois,"Bastille-Popincourt, Paris 11ème (75011)",1 chambre,2 pièces,
Appartement à louer - Première occupation,44 m²,2 200 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",N/A,1 pièce,N/A
Appartement à louer,40 m²,2 890 € /mois,"Porte Dauphine, Paris 16ème (75116)",1 chambre,2 pièces,
Appartement à louer,82 m²,2 700 € /mois,"Odéon, Paris 6ème (75006)",2 chambres,3 pièces,5ème étage
Appartement à louer,29 m²,1 093 € /mois,"République-Saint Ambroise, Paris 11ème (75011)",1 chambre,2 pièces,
Appartement à louer,55 m²,2 100 € /mois,Paris 16ème (75016),1 chambre,2 pièces,2ème étage
Triplex à louer,"270,3 m²",11 840 € /mois,"Hoche-Friedland, Paris 8ème (75008)",4 chambres,7 pièces,N/A
Appartement à louer - Première occupation,64 m²,3 060 € /mois,"Alleray Procession, Paris 15ème (75015)",2 chambres,3 pièces,5ème étage
Appartement à louer,85 m²,2 900 € /mois,"Georges Brassens, Paris 15ème (75015)",3 chambres,4 pièces,5ème étage
Appartement à louer,280 m²,11 000 € /mois,"Muette Nord, Paris 16ème (75016)",4 chambres,7 pièces,N/A
Appartement à louer - Première occupation,108 m²,4 350 € /mois,"Citroën-Boucicaut, Paris 15ème (75015)",3 chambres,4 pièces,N/A
Appartement à louer,"45,9 m²",2 800 € /mois,"Muette Sud, Paris 16ème (75116)",1 chambre,2 pièces,RDC
Appartement à louer - Première occupation,57 m²,3 140 € /mois,"Champerret-Berthier, Paris 17ème (75017)",2 chambres,3 pièces,N/A
Appartement à louer - Première occupation,63 m²,3 960 € /mois,"Pereire-Malesherbes, Paris 17ème (75017)",2 chambres,3 pièces,N/A
Appartement à louer - Première occupation,47 m²,2 430 € /mois,"Epinettes-Bessières, Paris 17ème (75017)",1 chambre,2 pièces,N/A
Appartement à louer - Première occupation,55 m²,2 630 € /mois,"Courcelles-Wagram, Paris 17ème (75017)",1 chambre,2 pièces,N/A
Appartement à louer,440 m²,40 000 € /mois,"Gros Caillou, Paris 7ème (75007)",4 chambres,12 pièces,RDC/4
Appartement à louer,184 m²,14 200 € /mois,"Saint Germain des Prés, Paris 6ème (75006)",6 chambres,7 pièces,2ème étage
Appartement à louer - Première occupation,"53,9 m²",3 400 € /mois,"Hoche-Friedland, Paris 8ème (75008)",1 chambre,2 pièces,N/A
Appartement à louer - Première occupation,"79,1 m²",3 080 € /mois,"Rennes, Paris 15ème (75015)",2 chambres,3 pièces,N/A
Appartement à louer - Première occupation,157 m²,6 260 € /mois,"Emeriau-Zola, Paris 15ème (75015)",4 chambres,5 pièces,N/A
Appartement à louer - Première occupation,66 m²,4 090 € /mois,"Dupleix-Motte Picquet, Paris 15ème (75015)",2 chambres,3 pièces,N/A
Appartement à louer - Première occupation,48 m²,4 400 € /mois,"Courcelles-Wagram, Paris 17ème (75017)",2 chambres,3 pièces,3ème étage
Appartement à louer - Première occupation,70 m²,3 550 € /mois,"Porte Dauphine, Paris 16ème (75016)",2 chambres,3 pièces,1er étage
Appartement à louer - Première occupation,"46,9 m²",2 200 € /mois,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",1 chambre,2 pièces,N/A
Appartement à louer - Première occupation,71 m²,3 540 € /mois,"Muette Sud, Paris 16ème (75016)",2 chambres,3 pièces,N/A
Appartement à louer,47 m²,1 605 € /mois,"Auteuil Nord, Paris 16ème (75016)",1 chambre,2 pièces,2ème étage
Appartement à louer,"37,6 m²",2 150 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",1 chambre,2 pièces,1er étage
Appartement à louer,42 m²,1 540 € /mois,"Georges Brassens, Paris 15ème (75015)",1 chambre,2 pièces,4ème étage
Appartement à louer,263 m²,22 000 € /mois,"Gros Caillou, Paris 7ème (75007)",5 chambres,8 pièces,
Appartement à louer,31 m²,1 119 € /mois,"Père Lachaise-Réunion, Paris 20ème (75020)",,1 pièce,1er étage
Appartement à louer,180 m²,7 490 € /mois,"Muette Nord, Paris 16ème (75016)",3 chambres,5 pièces,N/A
Appartement à louer,180 m²,7 490 € /mois,"Muette Nord, Paris 16ème (75016)",3 chambres,5 pièces,N/A
Appartement à louer,31 m²,1 143 € /mois,"Belleville-Saint Maur, Paris 11ème (75011)",N/A,1 pièce,5ème étage
Appartement à louer,81 m²,3 450 € /mois,"Emeriau-Zola, Paris 15ème (75015)",2 chambres,3 pièces,7ème étage
Appartement à louer,112 m²,6 800 € /mois,"Enfants Rouges, Paris 3ème (75003)",2 chambres,4 pièces,N/A
Maison à louer,246 m²,18 500 € /mois,"Porte Dauphine, Paris 16ème (75116)",5 chambres,9 pièces,N/A
Péniche à louer,65 m²,2 800 € /mois,"Seine et Berges, Paris 15ème (75015)",1 chambre,2 pièces,N/A
Appartement à louer,129 m²,5 480 € /mois,"Muette Sud, Paris 16ème (75016)",3 chambres,5 pièces,N/A
Appartement à louer,37 m²,2 400 € /mois,Paris 8ème (75008),1 chambre,2 pièces,5ème étage
Appartement à louer,97 m²,3 600 € /mois,"Courcelles-Wagram, Paris 17ème (75017)",2 chambres,4 pièces,RDC/6
Appartement à louer,53 m²,3 500 € /mois,Paris 18ème (75018),2 chambres,3 pièces,3ème étage
Appartement à louer,61 m²,1 850 € /mois,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1 chambre,2 pièces,3ème étage
Appartement à louer - Première occupation,55 m²,1 690 € /mois,"Pernety, Paris 14ème (75014)",1 chambre,2 pièces,
Appartement à louer,30 m²,1 900 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",N/A,1 pièce,6ème étage
Appartement à louer,223 m²,7 800 € /mois,"Champerret-Berthier, Paris 17ème (75017)",5 chambres,6 pièces,RDC
Appartement à louer,50 m²,1 675 € /mois,Paris 13ème (75013),1 chambre,2 pièces,3ème étage
Appartement à louer,57 m²,1 618 € /mois,"Danube-Porte des Lilas, Paris 19ème (75019)",2 chambres,3 pièces,9ème étage
